#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
fa6dd5a65bc8f694bd70d4e489935ddd;Maschio;28;Addetto alla formazione;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;38;3;4;2;1;2;2;3;2;1;4;2;3;3;2;2;3;4;3;3;2;3;3;2;3;3;;;;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;3;2;2;1;2;2;1;2;2;2;3;3;4;2;2;3;2;2;3;2;1;2;1;GTCS1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-07-07 18:40:51;2019-07-07 19:09:40;4b0625ebaf
904e72ab77632422158a14d821aff8c7;Maschio;27;Complaints handling and quality assessment representative;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;35;4;2;4;1;3;4;3;3;3;3;3;4;3;4;4;5;4;3;3;4;3;4;2;2;3;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;3;2;3;2;2;2;2;3;4;3;3;3;4;2;1;3;2;3;2;2;1;1;2;CMTC1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-07-04 19:21:42;2019-07-04 19:44:59;66173a0344
d3044e3311bf19e4624ad813cf98a147;Femmina;38;Servizio contabilità di Dipartimento - gestione acquisti di beni e servizi;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;3;3;3;2;3;2;5;2;5;5;5;1;1;1;1;1;1;5;5;5;1;5;5;5;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;Respiro affannoso;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;;Mal di stomaco o nausea;;Sonno disturbato;;Respiro affannoso;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;;Calo di appetito;Vertigini;Stanchezza o affaticamento;3;3;4;5;5;5;5;5;5;2;3;1;2;4;3;3;4;4;4;3;3;2;4;4;3;4;malo1944;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-07-04 07:49:43;2019-07-04 09:09:18;11fa061533
397e07235dea00e8d903cad634c73bbf;Femmina;26;Impiegata e operatore del mercato del lavoro, gestisco e metto in atto azioni di orientamento professionale per disoccupati;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;50;4;5;4;1;2;4;3;2;1;3;3;4;3;3;3;3;3;2;4;4;3;2;4;4;4;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;;;;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;4;4;3;4;5;3;3;4;4;3;3;4;4;2;3;4;4;3;3;4;3;2;Saog1966;Con sistema iOS (iPhone);Continua;2019-06-23 20:40:32;2019-06-23 20:59:41;177787a0f2
ba0fbd530f92690e28691413b785d1e9;Femmina;32;impiegata;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;46;5;5;5;5;3;5;4;5;1;3;4;4;3;3;3;3;3;2;4;2;3;3;3;3;2;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;5;4;3;3;3;2;2;2;3;3;3;3;3;3;2;3;1;3;2;2;2;2;2;MVPG1956;Con sistema iOS (iPhone);Continua;2019-06-23 20:35:56;2019-06-23 20:50:18;babb681f2d
73f00db9443fb1a1d6153dc3e73042e9;Maschio;29;SERVIZI;Libero professionista/imprenditore;Privato;Scuole Superiori;;;;Altri;;40;2;2;3;2;4;3;2;3;2;2;1;3;3;4;2;2;4;1;5;4;3;3;3;3;3;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;;;;;;;;Mal di testa;;;;;;;;;;;1;3;2;3;3;4;4;1;3;2;3;2;1;1;2;3;2;1;2;2;1;1;2;3;2;2;MCVD1959;Con sistema iOS (iPhone);;2019-06-23 19:52:23;2019-06-23 20:13:48;0e833fc855
37685436dec45c31c4407c73f10b1162;Femmina;55;impiegato amministrativo;Dipendente - livello non dirigenziale;Pubblico;Scuole Superiori;;;;Altri;;40;3;2;3;1;4;4;3;2;1;2;1;4;3;4;4;4;4;2;3;3;3;4;1;2;2;;;Mal di schiena;Sonno disturbato;;;;;;Acidità o bruciore di stomaco;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;1;2;1;1;1;2;1;2;2;4;2;2;2;3;2;1;3;2;2;1;2;1;1;1;LFAI1940;Con sistema iOS (iPhone);Continua;2019-06-23 19:42:27;2019-06-23 19:51:48;0e833fc855
db902aa097dfce512566c9abde8abb24;Maschio;46;psicologo;Libero professionista/imprenditore;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;3;3;3;2;2;2;2;2;3;1;3;1;5;4;4;4;2;5;3;2;4;3;3;3;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;4;3;1;3;1;2;1;5;5;1;5;4;3;2;2;2;3;1;3;3;2;1;LFAI1940;Con sistema iOS (iPhone);Continua;2019-06-23 19:32:13;2019-06-23 19:41:02;0e833fc855
4a023d7821bcd9a954a5f02243cd8286;Maschio;29;Impiegato;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;37;4;1;4;1;4;4;4;4;3;3;3;4;2;3;3;3;3;2;3;3;3;4;4;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;3;4;3;4;4;5;3;5;4;2;2;4;2;2;3;2;2;3;2;1;2;2;1;2;ADMV1965;Con sistema iOS (iPhone);Continua;2019-06-23 19:11:49;2019-06-23 19:19:42;add1c8e0d0
eeb439a059eb38d211d0272dc6d5e5d8;Femmina;57;Impiegata presso POSTE ITALIANE con mansioni operative al CMP di FIUMICINO;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;36;4;1;4;4;2;4;5;5;4;5;4;4;2;1;1;2;2;1;5;2;4;3;4;4;4;;;Mal di schiena;Sonno disturbato;;;;;;;;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;4;4;4;5;4;3;3;4;3;3;4;2;1;1;1;1;4;2;4;4;4;4;4;3;2;3;CPAF1936;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-06-21 18:47:31;2019-06-21 19:12:42;57687ab9b7
13a20fc8525d9d69b59e0abb5e895487;Femmina;27;Lavoro d’ufficio in Banca;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;45;5;4;5;3;5;5;4;2;1;1;1;3;4;4;3;5;4;1;4;1;2;4;3;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;1;1;2;3;1;2;2;1;1;1;2;5;5;1;5;5;3;2;3;2;2;2;1;2;1;1;EBDM1965;Con sistema iOS (iPhone);Continua;2019-06-21 17:46:50;2019-06-21 17:55:36;55eea29a4e
6bc663d7d9e2b62564e97e4426e160a7;Femmina;37;Segretaria legale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;35;4;3;4;2;2;4;1;1;1;1;1;3;4;4;3;5;4;4;3;1;2;3;1;1;1;;;Mal di schiena;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;2;4;2;3;2;1;1;2;2;2;3;3;3;3;2;1;3;1;3;2;1;3;1;1;LFPT54;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-06-20 12:43:39;2019-06-20 15:17:46;f0c5b03f3b
86d1393e316f3b86309a5260de372b53;Maschio;26;Consulente hr, head hunting e attività commerciale di vendita servizi hr;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;45;5;5;3;5;1;3;2;3;1;1;1;4;4;4;2;4;5;2;4;3;3;3;5;3;1;;;Mal di schiena;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;4;5;4;5;4;4;2;4;2;4;5;2;4;5;4;4;3;3;4;3;3;3;1;1;GRMZ1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-06-18 20:13:08;2019-06-18 20:32:28;0c67bf797a
9d08c288bcc6fa81f39d884618712464;Maschio;32;HR SPECIALIST;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;2;2;2;1;1;1;3;3;5;3;4;5;1;3;2;2;2;1;5;4;5;1;5;5;5;;;Mal di schiena;Sonno disturbato;;;Dolore al torace;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;Crampi allo stomaco;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;5;3;5;5;3;4;5;1;1;4;1;1;2;1;4;4;4;4;4;MBMS1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-06-14 14:39:22;2019-06-14 15:45:42;e9baed7afb
69398b8ae88f7fddb0956eaa79ae70f2;Femmina;30;Risorse umane;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;40;3;4;2;1;1;4;5;5;4;4;5;5;1;3;3;5;4;1;5;5;4;4;5;3;4;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;;Dolore al torace;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;5;5;4;5;5;5;2;1;1;4;1;5;5;2;3;2;4;1;3;3;1;4;4;4;4;3;ITDC1963;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-06-14 14:38:16;2019-06-14 15:20:59;039e2b060f
baa73482bf2d1b75d6968621dd2dfb80;Maschio;37;Assegnista di ricerca;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;60;3;3;3;2;3;4;3;2;1;2;2;3;2;3;4;3;4;3;2;1;1;4;2;2;2;;;;Sonno disturbato;;;;;;;;Diarrea;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;2;2;1;1;1;3;4;2;4;4;2;2;3;2;2;1;2;3;1;2;GCAD1946;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-06-11 14:18:49;2019-06-11 14:33:58;3c4374ff3b
10a1585a9b0d095fa7368bc2b19cb690;Maschio;30;Agente di Viaggio;Dipendente - livello dirigenziale;Privato;Scuole Superiori;;Genitori;;;;70;4;4;4;4;2;4;1;2;1;1;1;3;3;4;3;4;4;3;3;2;1;3;2;1;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;4;3;3;3;4;1;2;2;4;5;5;5;4;2;2;2;2;3;2;3;3;2;3;MCVD1959;Con sistema iOS (iPhone);;2019-05-21 16:12:01;2019-05-21 16:21:49;7fadd3e24c
35d9131005df4c4af8bcd518a2741705;Femmina;45;Impiegata;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;36;3;4;3;2;1;4;4;2;4;4;4;3;3;2;4;4;4;1;3;2;1;5;2;2;4;;Mal di stomaco o nausea;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;2;3;4;2;4;2;2;3;2;1;2;2;4;2;2;2;2;4;1;4;1;3;2;1;2;FPCM1947;Con sistema iOS (iPhone);Continua;2019-05-19 17:50:45;2019-05-19 18:09:55;669e803524
a074d9f8c8e21303ecfb179a5c26f79d;Maschio;30;Consulente Service presso Servizio di assistenza BMW e mini;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;50;4;4;3;3;3;3;4;3;1;2;1;1;5;5;5;4;5;2;4;4;2;3;4;2;3;;;;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;5;4;5;4;5;5;4;3;3;1;4;4;2;4;5;3;4;4;4;4;3;3;4;1;3;ECRS1956;Con sistema iOS (iPhone);Continua;2019-05-11 18:50:12;2019-05-11 19:00:48;826e66df43
b7d9d2776f34d0069dac36c70324108b;Femmina;29;Responsabile contatti in una società di logistica;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;40;4;4;3;4;2;4;4;4;1;2;2;4;4;4;4;4;4;4;4;4;2;2;4;3;3;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;Crampi allo stomaco;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;3;5;4;4;4;3;2;2;2;4;4;2;4;5;3;3;2;2;3;4;3;3;3;2;Mvgp1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-05-10 19:00:34;2019-05-10 19:17:00;b0e2b501d9
29bdb9115a2729546fb1ecacb8cfd2d0;Maschio;29;Direzione;Libero professionista/imprenditore;Privato;Laurea/Post-laurea;;;;;Da sola/o;50;5;5;4;5;4;4;4;3;2;2;1;4;3;4;5;4;3;1;3;2;1;4;2;2;1;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;5;5;5;5;3;2;2;2;1;5;5;2;4;5;4;4;3;2;3;2;2;2;3;2;ANPF1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-05-07 22:11:54;2019-05-07 22:24:53;5713208c37
0f66612e7cfb3fc5a4e954d4968294d6;Femmina;29;Manager GDO;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;48;5;5;2;4;3;4;4;3;2;3;2;5;3;1;1;3;2;1;5;5;4;1;4;5;4;;;Mal di schiena;;Eruzione cutanea;;;;;;;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;5;5;4;5;4;5;3;5;5;1;3;5;5;1;5;4;3;3;3;2;4;4;4;3;2;3;ADMS1967;Con sistema iOS (iPhone);;2019-05-05 16:07:21;2019-05-05 16:18:14;a9f54038cd
7b6c3c1a32294a5ebf946ddafd95281f;Maschio;29;Digital Marketer;Libero professionista/imprenditore;Privato;Scuole Superiori;Coniuge/convivente;;;;;50;5;5;5;5;5;5;2;2;1;1;1;2;3;4;4;5;5;3;2;1;1;3;3;2;2;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;4;5;5;3;1;1;1;5;5;1;5;5;3;3;2;4;4;3;2;1;2;1;etel1964;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-05-05 14:12:24;2019-05-05 14:21:57;eded85a566
86066bbd0df06fe4e77d56d8be240b3c;Femmina;27;grafica pubblicitaria;Libero professionista/imprenditore;Privato;Scuole Superiori;Coniuge/convivente;;;;;40;5;5;4;4;3;5;4;3;1;2;2;1;4;3;4;4;4;3;3;2;1;3;2;1;1;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;3;2;4;1;1;2;1;1;4;4;4;5;4;3;3;4;3;4;3;3;4;1;1;SDGM1968;Con sistema iOS (iPhone);Continua;2019-05-05 10:59:05;2019-05-05 11:22:34;eded85a566
dd77c12134dbade1064b674200f32e85;Maschio;29;Back office logistica focus sinistri, idrocarburi e pedaggi;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;42;3;3;2;2;2;1;2;2;2;3;2;4;3;2;2;2;3;2;4;2;3;2;2;4;2;;;;;;;;;Febbre;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;3;3;4;3;4;3;3;3;2;3;3;3;2;3;4;3;1;2;2;Mr1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-05-03 18:17:29;2019-05-03 18:26:48;6da88c9765
a9f1169d56906572227c134f76a8663b;Maschio;30;Ingegnere Informatico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;40;4;3;4;2;4;4;1;1;1;1;1;1;4;4;3;4;5;4;2;2;1;3;2;2;1;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;2;1;2;1;2;1;1;1;3;4;2;4;5;2;2;1;2;3;3;2;3;2;1;ROPA1960;Con sistema iOS (iPhone);Continua;2019-05-02 09:29:06;2019-05-02 10:02:25;e227cc8e23
b4f83b78a02970639893985124c4e7f3;Femmina;33;Responsabile Risorse Umane e Valorizzazione del capitale umano in azienda;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;48;3;5;2;3;1;4;3;3;2;2;2;4;3;5;5;4;4;1;5;4;3;2;3;2;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;5;5;4;5;5;5;1;2;4;3;4;3;3;2;4;4;3;3;3;4;4;2;4;4;FVGB42;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-05-02 09:00:22;2019-05-02 09:10:30;61fbe0a434
3a8be16d6e3327e23fec9a949dddfcef;Maschio;33;impiegato;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;50;4;4;4;4;4;4;3;2;1;1;2;1;3;3;3;3;3;4;2;2;1;4;2;2;3;;;Mal di schiena;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;3;2;3;2;2;1;1;1;4;4;3;4;4;2;2;1;2;3;3;3;2;1;2;SMAR1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-30 15:34:56;2019-04-30 15:58:24;1216a0016b
9634ba34102762ad3128f491ff0b6bf0;Maschio;44;Bancario;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;40;3;4;2;4;2;3;3;4;3;3;4;4;2;2;1;2;2;1;4;3;4;3;4;3;3;;;;Sonno disturbato;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;5;4;3;4;3;5;4;3;3;4;2;2;4;2;3;2;3;3;3;2;3;3;W123w123;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-14 19:42:19;2019-04-14 19:56:22;15dd1d4aed
6e28a3745446160b1ea7dd4df626c329;Femmina;25;Impiegato;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;11;4;1;4;2;2;4;3;2;2;4;3;2;2;3;1;3;2;2;3;2;2;4;1;1;2;;;Mal di schiena;Sonno disturbato;Eruzione cutanea;;;;;;Affaticamento agli occhi;;Crampi allo stomaco;;;;;Stanchezza o affaticamento;;;;;Eruzione cutanea;;;;;Acidità o bruciore di stomaco;;;;;;;;;4;3;3;4;5;4;4;5;2;2;1;3;4;4;3;4;3;2;3;3;3;3;3;1;1;1;NMMD1961;Con sistema iOS (iPhone);Continua;2019-04-08 20:16:26;2019-04-08 20:28:10;89d133bf5b
96da28f82b1637b3016b6fa7d41e29ca;Femmina;52;IMPIEGATA;Dipendente - livello non dirigenziale;Pubblico;Scuole Medie;Coniuge/convivente;;Figli;;;36;4;2;4;3;3;4;4;4;3;3;3;4;1;2;2;3;3;2;4;4;4;4;3;3;3;;;Mal di schiena;Sonno disturbato;;;Dolore al torace;;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;;3;2;3;4;3;2;3;4;4;5;2;2;1;4;3;3;2;1;3;2;3;1;2;2;2;2;TBVM1933;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-08 19:49:14;2019-04-08 20:07:04;0d23855fbb
1bc5e53b23e1e67e02d9977dd4b13e86;Maschio;26;Impiegato tecnico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;50;3;1;2;1;1;2;3;3;2;2;1;3;3;3;3;3;3;2;4;2;2;4;3;3;2;;;;;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;3;5;5;5;5;4;3;2;2;2;5;4;2;4;2;4;4;4;3;4;2;4;2;2;1;LRSM1963;Con sistema iOS (iPhone);Continua;2019-04-08 19:22:11;2019-04-08 19:52:53;4732bd9c41
